['\xef\xbb\xbfCod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;S\xc3\xb3dio;Carboidrato
['206;Jamelão', ' cru;0.55;0.11;#N/A;;1.78;1.37;10.63
['207;Kiwi', ' cru;1.34;0.63;0.06;;2.65;Tr;11.50
['208;Laranja', ' baía', ' crua;0.98;0.10;#N/A;;1.12;Tr;11.47
['209;Laranja', ' baía', ' suco;0.65;Tr;#N/A;;Tr;Tr;8.70
['210;Laranja', ' da terra', ' crua;1.08;0.19;#N/A;;3.98;0.83;12.86
['211;Laranja', ' da terra', ' suco;0.67;0.14;#N/A;;1.03;Tr;9.57
['212;Laranja', ' lima', ' crua;1.06;0.08;#N/A;;1.78;1.11;11.53
['213;Laranja', ' lima', ' suco;0.71;0.12;#N/A;;0.42;Tr;9.17
['214;Laranja', ' pêra', ' crua;1.04;0.13;#N/A;;0.77;Tr;8.95
['215;Laranja', ' pêra', ' suco;0.74;0.07;#N/A;;Tr;Tr;7.55
['216;Laranja', ' valência', ' crua;0.77;0.16;#N/A;;1.73;0.63;11.72
['217;Laranja', ' valência', ' suco;0.48;0.12;#N/A;;0.42;Tr;8.55
['218;Limão', ' cravo', ' suco;0.33;Tr;#N/A;;Tr;Tr;5.25
['219;Limão', ' galego', ' suco;0.57;0.07;#N/A;;Tr;Tr;7.32
['220;Limão', ' tahiti', ' cru;0.94;0.14;#N/A;;1.18;1.25;11.08
['221;Maçã', ' Argentina', ' com casca', ' crua;0.23;0.25;0.10;;2.03;1.32;16.59
['222;Maçã', ' Fuji', ' com casca', ' crua;0.29;Tr;#N/A;;1.35;Tr;15.15
['223;Macaúba', ' crua;2.08;40.66;7.10;;13.44;0.65;13.95
['224; Mamão', ' doce em calda', ' drenado;0.19;0.07;#N/A;;1.31;2.91;54.00
['225;Mamão', ' Formosa', ' cru;0.82;0.12;#N/A;;1.81;3.26;11.55
['226;Mamão', ' Papaia', ' cru;0.46;0.12;#N/A;;1.04;1.63;10.44
['227; Mamão verde', ' doce em calda', ' drenado;0.32;0.10;#N/A;;1.23;4.74;57.64
['228;Manga', ' Haden', ' crua;0.41;0.26;0.10;;1.58;0.55;16.66
['229;Manga', ' Palmer', ' crua;0.41;0.17;#N/A;;1.63;1.86;19.35
['230;Manga', ' polpa', ' congelada;0.38;0.23;0.10;;1.07;6.73;12.52
['231;Manga', ' Tommy Atkins', ' crua;0.86;0.22;0.10;;2.07;Tr;12.77
['232;Maracujá', ' cru;1.99;2.10;0.22;;1.14;1.58;12.26
['233;Maracujá', ' polpa', ' congelada;0.81;0.18;#N/A;;0.51;8.10;9.60
['234;Maracujá', ' suco concentrado', ' envasado;0.77;0.19;#N/A;;0.35;21.69;9.64
['235;Melancia', ' crua;0.88;Tr;#N/A;;0.12;Tr;8.14
['236;Melão', ' cru;0.68;Tr;#N/A;;0.25;11.17;7.53
['237;Mexerica', ' Murcote', ' crua;0.88;0.13;#N/A;;3.07;1.17;14.86
['238;Mexerica', ' Rio', ' crua;0.65;0.13;#N/A;;2.73;1.82;9.34
['239;Morango', ' cru;0.89;0.31;#N/A;;1.72;Tr;6.82
['240;Nêspera', ' crua;0.31;Tr;#N/A;;2.96;Tr;11.53
['241;Pequi', ' cru;2.34;17.97;#N/A;;19.04;Tr;12.97
['242;Pêra', ' Park', ' crua;0.24;0.23;0.10;;2.98;0.98;16.07
['243;Pêra', ' Williams', ' crua;0.57;0.11;#N/A;;3.01;Tr;14.02
['244;Pêssego', ' Aurora', ' cru;0.83;Tr;#N/A;;1.42;Tr;9.32
['245;Pêssego', ' enlatado', ' em calda;0.71;Tr;#N/A;;1.02;3.20;16.88
['246;Pinha', ' crua;1.49;0.32;0.10;;3.36;1.34;22.45
['247;Pitanga', ' crua;0.93;0.17;#N/A;;3.24;1.70;10.24
['248;Pitanga', ' polpa', ' congelada;0.29;0.12;#N/A;;0.74;5.03;4.76
['249;Romã', ' crua;0.40;Tr;#N/A;;0.44;0.59;15.11
['250;Tamarindo', ' cru;3.21;0.46;0.10;;6.45;0.36;72.53
['251;Tangerina', ' Poncã', ' crua;0.85;0.07;#N/A;;0.94;Tr;9.61
['252;Tangerina', ' Poncã', ' suco;0.52;Tr;#N/A;;Tr;Tr;8.80
['253;Tucumã', ' cru;2.09;19.08;4.69;;12.65;3.89;26.47
['254;Umbu', ' cru;0.84;Tr;#N/A;;1.98;Tr;9.40
['255;Umbu', ' polpa', ' congelada;0.51;0.07;#N/A;;1.34;5.77;8.79
['256;Uva', ' Itália', ' crua;0.75;0.20;#N/A;;0.92;Tr;13.57
['257;Uva', ' Rubi', ' crua;0.61;0.16;#N/A;;0.93;7.92;12.70
['258;Uva', ' suco concentrado', ' envasado;Tr;Tr;#N/A;;0.23;9.58;14.71
['259;Azeite', ' de dendê;NA;100.00;43.10;;NA;0.00;NA
['260;Azeite', ' de oliva', ' extra virgem;NA;100.00;14.90;;NA;0.00;NA
['261;Manteiga', ' com sal;0.41;82.36;49.20;;NA;578.69;0.06
